Aasimar;The counterpart to Tieflings &  Aasimar have a celestial heritage instead of fiendish one.
Alu-Fiend;Half Succubus/Incubus &  Half Human... What's not to love?
Anansi;Anansi are sentient jumping spiders that inhabit forests and jungles.
Anthrolupe;Anthrolupes are a race of anthropomorphic wolves who generally travel in packs &  but may also prefer to travel in smaller numbers or alone.
Anthromals;Anthropomorphic animals that have a strong connection to nature.
Anthropomorphous Wind (Windmen);Windmen have fast &  agile and light bodies &  they have the ability to easily avoid attacks and dodge other effects.
Apeling;A race of nimble and strong monkey-like people.
Aqueous;A humanoid people with strong ties to the water of the land they come from. Otherwise strikingly human &  Aqueous are able to transform into a liquid form where their body is converted into a water-like substance.
Avariel;A race of winged elves.
Badger Lord;Titanic versions of badgers - based on the Badgers of Redwall.
Baketako;A race of intelligent bipedal mollusks that value honor over even life. (In simpler terms &  octopus samurai)
Barbed Devil;Horrid guardians spawned in vaults of Erberus.
Bearon;Sir. Bearington's own proud and mighty race of humanoid Ursus (Brown Bears).
Birali;Birali are nimble creatures who care not for other opinion of them.
Bladeling;Warlike outsiders from the Infinite Battlefield of Acheron.
Blueveined;Cursed to live their lives with little time &  Blueveineds gain other abilities relating to the magic veins coursing within them.
Bulbon;Mutated humans with alien-like features.
Bullywug;The self acclaimed rulers of the swamps.
Cambion;The children of fiends
Cartura;Wise lion-type fey that were cast out of the feywilds by the elves.
Cauzerauti;Humanoid warthogs created for evil &  that have finally escaped their wicked origins.
Centaur;The nomadic horsefolk of the wilds.
Changeling &  Eberron Variant;Half-Human &  Half-Doppelganger - the changeling is the master of disguise and intrigue.
Chibido;Beautiful humanoids in both body and voice
Chiropterans (Bainglor);Anthropomorphic bat-folk.
Cleansed Blight;What began as an evil awakening of plants has turned into thriving settlements of these goodhearted beings.
Concubus;A little fiend and a little fey make for an interesting combination.
Cyclops;"""Simple &  deliberate &  stubborn and hulking with one eye."""
Dantise;Also known as Dire Elves. A crossbreed of orc and elves &  the dantise blends the traits of both races.
Demigod;
Devilkin;Devil-mortal love-baby.
Dhampir;The offspring of a vampire and a human mother &  These creatures are of the utmost beauty and danger to any and all.
Dnilb;Dnilbs are eyeless bipedal fish.
Dorthin;Blind warriors with the power of blind/true sight &  which favor the monk class.
Dragonfolk;Medium-sized agile dragons who excel in spellcasting.
Eberron Goblin;A race that has started to carve out its own culture once more in a world where they were left behind &  the goblins of Eberron hold to ancient traditions of duty and honor.
Eldrazi;The Eldrazi are an abomination to all planes of existence.
Elf orc;Because half elves are lame and half orcs are stupid.
Elftaur;An elf centaur.
Elin (Tera Style);Made by nature deity &  they look like female children with animal ears and tail..
Empathians;Humans effected by a potent brew transform into something new
Floran;Florans are quite strong &  but not very smart. Probably because plants don't have brains.
Flumph;The mysterious flumphs drift through the Underdark &  propelled through the air by the jets whose sound gives them their name.
Forest Golem;A race of stone and earth golem constructs
Formicid;Man-sized ants.
Fragor Magnus;From the beginning to the End &  they were there &  studying &  caring and protecting the Universe from the rest of the Multiverse.
Gadragger;Gadragger are very intelligent and slightly monstrous item collectors.
Galeb Duhr;
Gargoyle;Short &  grotesque creatures carved from stone.
Genasi;Genasi are the offspring of genies/elemental's and mortals.
Gesttil;A goblin-like race with gems for eyes.
Ghost;Death is less permanent then you think.
Gith;Former slaves of the illithids &  the quick-bodied gith are split between the fierce &  plundering githyanki and the disciplined &  contemplative githzerai.
Gnoll;Gnolls are brutal hunters with a demonic ancestry who are fiercely loyal to their pack.
Goblin;"The question isn't ""Why would you want to play a goblin?"" The question is &  ""How uncomfortable are you with your character setting himself on fire?"""
Goliath(variant);
Goliath Panda;Goliath Pandas are the creation of a mad wizard &  the result was a breed of powerful and intelligent warriors.
Half-Dryad;The children of the forest fey.
Half-Giant;Simple &  deliberate &  stubborn &  and hulking.
Half-Minotaur;The further hybridization between bull and humans.
Half-Solar;
Half-Troll;Tough &  fierce &  and hungry &  half-trolls combine the best traits of both their parents' biology.
Half-Vampire;Offspring of a vampire and a human
Half-blood (demigod variant);
Harpy;Harpies are skilled on the ground and in the air &  able to use their talons if unbroken and sing a song to captivate her foe.
Hog Folk;Pig-like beast men &  the descendants of an entire race cursed by their Gods.
Hound Archon;A Celestial Canine humanoid that does battle with evil beings on a daily basis.
Human Subrace Feats (5e Race Variant);
Hydronian;The hydronians are a race of small humanoid hydras that are more afraid of humans than they are of the Hydronians. But unlike Hydras they cannot regrow their heads.
Hygeist (Demon);
Hyperion;Brilliant and haughty psychic constructs from the Astral Plane.
Illithid;Alien &  frightening beings of great mental prowess and forceful personalities.
Imposed Corpse;
Incubus/Succubus;Succubi and incubi are the deadly combination of the ideas of lust and beauty.
Inkling (Splatoon);Humanoid appearance with squidlike traits. Can polymorph into a squid at will.
Kamel;
Karakuri;A mechanical race &  each bound to a small box containing a spirit.
Kender;Small and fearless kleptomaniacs
